kode_barang,nama_barang,stok,nama_bagian
BRG-0001,"Barang Contoh Ke-1",325,"Pengendalian dan Penanganan Sengketa"
BRG-0002,"Barang Contoh Ke-2",397,"Pengendalian dan Penanganan Sengketa"
BRG-0003,"Barang Contoh Ke-3",163,"Pengadaan Tanah dan Pengembangan"
BRG-0004,"Barang Contoh Ke-4",178,"Penetapan Hak dan Pendaftaran"
BRG-0005,"Barang Contoh Ke-5",220,"Pengendalian dan Penanganan Sengketa"
BRG-0006,"Barang Contoh Ke-6",336,"Tata Usaha"
BRG-0007,"Barang Contoh Ke-7",389,"Pengadaan Tanah dan Pengembangan"
BRG-0008,"Barang Contoh Ke-8",431,"Survei dan Pemetaan"
BRG-0009,"Barang Contoh Ke-9",30,"Penetapan Hak dan Pendaftaran"
BRG-0010,"Barang Contoh Ke-10",397,"Survei dan Pemetaan"
BRG-0011,"Barang Contoh Ke-11",364,"Tata Usaha"
BRG-0012,"Barang Contoh Ke-12",234,"Survei dan Pemetaan"
BRG-0013,"Barang Contoh Ke-13",91,"Penataan dan Pemberdayaan"
BRG-0014,"Barang Contoh Ke-14",251,"Penataan dan Pemberdayaan"
BRG-0015,"Barang Contoh Ke-15",17,"Penataan dan Pemberdayaan"
BRG-0016,"Barang Contoh Ke-16",280,"Penetapan Hak dan Pendaftaran"
BRG-0017,"Barang Contoh Ke-17",437,"Pengendalian dan Penanganan Sengketa"
BRG-0018,"Barang Contoh Ke-18",273,"Penetapan Hak dan Pendaftaran"
BRG-0019,"Barang Contoh Ke-19",379,"Pengendalian dan Penanganan Sengketa"
BRG-0020,"Barang Contoh Ke-20",408,"Pengadaan Tanah dan Pengembangan"
BRG-0021,"Barang Contoh Ke-21",186,"Penataan dan Pemberdayaan"
BRG-0022,"Barang Contoh Ke-22",478,"Pengadaan Tanah dan Pengembangan"
BRG-0023,"Barang Contoh Ke-23",181,"Tata Usaha"
BRG-0024,"Barang Contoh Ke-24",280,"Tata Usaha"
BRG-0025,"Barang Contoh Ke-25",171,"Survei dan Pemetaan"
BRG-0026,"Barang Contoh Ke-26",204,"Penetapan Hak dan Pendaftaran"
BRG-0027,"Barang Contoh Ke-27",237,"Pengadaan Tanah dan Pengembangan"
BRG-0028,"Barang Contoh Ke-28",287,"Survei dan Pemetaan"
BRG-0029,"Barang Contoh Ke-29",372,"Tata Usaha"
BRG-0030,"Barang Contoh Ke-30",177,"Pengendalian dan Penanganan Sengketa"
BRG-0031,"Barang Contoh Ke-31",467,"Pengadaan Tanah dan Pengembangan"
BRG-0032,"Barang Contoh Ke-32",456,"Penetapan Hak dan Pendaftaran"
BRG-0033,"Barang Contoh Ke-33",94,"Pengendalian dan Penanganan Sengketa"
BRG-0034,"Barang Contoh Ke-34",446,"Tata Usaha"
BRG-0035,"Barang Contoh Ke-35",399,"Penataan dan Pemberdayaan"
BRG-0036,"Barang Contoh Ke-36",207,"Pengendalian dan Penanganan Sengketa"
BRG-0037,"Barang Contoh Ke-37",60,"Pengadaan Tanah dan Pengembangan"
BRG-0038,"Barang Contoh Ke-38",418,"Pengendalian dan Penanganan Sengketa"
BRG-0039,"Barang Contoh Ke-39",132,"Pengadaan Tanah dan Pengembangan"
BRG-0040,"Barang Contoh Ke-40",247,"Tata Usaha"
BRG-0041,"Barang Contoh Ke-41",156,"Penataan dan Pemberdayaan"
BRG-0042,"Barang Contoh Ke-42",279,"Tata Usaha"
BRG-0043,"Barang Contoh Ke-43",334,"Tata Usaha"
BRG-0044,"Barang Contoh Ke-44",100,"Pengendalian dan Penanganan Sengketa"
BRG-0045,"Barang Contoh Ke-45",469,"Tata Usaha"
BRG-0046,"Barang Contoh Ke-46",60,"Pengadaan Tanah dan Pengembangan"
BRG-0047,"Barang Contoh Ke-47",194,"Penetapan Hak dan Pendaftaran"
BRG-0048,"Barang Contoh Ke-48",397,"Penetapan Hak dan Pendaftaran"
BRG-0049,"Barang Contoh Ke-49",147,"Pengadaan Tanah dan Pengembangan"
BRG-0050,"Barang Contoh Ke-50",164,"Pengadaan Tanah dan Pengembangan"
BRG-0051,"Barang Contoh Ke-51",196,"Tata Usaha"
BRG-0052,"Barang Contoh Ke-52",302,"Pengadaan Tanah dan Pengembangan"
BRG-0053,"Barang Contoh Ke-53",151,"Tata Usaha"
BRG-0054,"Barang Contoh Ke-54",315,"Pengadaan Tanah dan Pengembangan"
BRG-0055,"Barang Contoh Ke-55",100,"Pengadaan Tanah dan Pengembangan"
BRG-0056,"Barang Contoh Ke-56",452,"Penataan dan Pemberdayaan"
BRG-0057,"Barang Contoh Ke-57",217,"Pengendalian dan Penanganan Sengketa"
BRG-0058,"Barang Contoh Ke-58",463,"Penetapan Hak dan Pendaftaran"
BRG-0059,"Barang Contoh Ke-59",325,"Tata Usaha"
BRG-0060,"Barang Contoh Ke-60",188,"Penataan dan Pemberdayaan"
BRG-0061,"Barang Contoh Ke-61",411,"Pengadaan Tanah dan Pengembangan"
BRG-0062,"Barang Contoh Ke-62",136,"Pengendalian dan Penanganan Sengketa"
BRG-0063,"Barang Contoh Ke-63",194,"Penataan dan Pemberdayaan"
BRG-0064,"Barang Contoh Ke-64",68,"Pengadaan Tanah dan Pengembangan"
BRG-0065,"Barang Contoh Ke-65",402,"Penataan dan Pemberdayaan"
BRG-0066,"Barang Contoh Ke-66",392,"Pengendalian dan Penanganan Sengketa"
BRG-0067,"Barang Contoh Ke-67",176,"Penetapan Hak dan Pendaftaran"
BRG-0068,"Barang Contoh Ke-68",61,"Penetapan Hak dan Pendaftaran"
BRG-0069,"Barang Contoh Ke-69",15,"Survei dan Pemetaan"
BRG-0070,"Barang Contoh Ke-70",364,"Penetapan Hak dan Pendaftaran"
BRG-0071,"Barang Contoh Ke-71",84,"Penetapan Hak dan Pendaftaran"
BRG-0072,"Barang Contoh Ke-72",350,"Penetapan Hak dan Pendaftaran"
BRG-0073,"Barang Contoh Ke-73",205,"Survei dan Pemetaan"
BRG-0074,"Barang Contoh Ke-74",75,"Pengadaan Tanah dan Pengembangan"
BRG-0075,"Barang Contoh Ke-75",171,"Pengendalian dan Penanganan Sengketa"
BRG-0076,"Barang Contoh Ke-76",425,"Penetapan Hak dan Pendaftaran"
BRG-0077,"Barang Contoh Ke-77",218,"Penataan dan Pemberdayaan"
BRG-0078,"Barang Contoh Ke-78",36,"Survei dan Pemetaan"
BRG-0079,"Barang Contoh Ke-79",408,"Penetapan Hak dan Pendaftaran"
BRG-0080,"Barang Contoh Ke-80",489,"Penetapan Hak dan Pendaftaran"
BRG-0081,"Barang Contoh Ke-81",77,"Penetapan Hak dan Pendaftaran"
BRG-0082,"Barang Contoh Ke-82",147,"Penetapan Hak dan Pendaftaran"
BRG-0083,"Barang Contoh Ke-83",457,"Penataan dan Pemberdayaan"
BRG-0084,"Barang Contoh Ke-84",362,"Penetapan Hak dan Pendaftaran"
BRG-0085,"Barang Contoh Ke-85",127,"Penataan dan Pemberdayaan"
BRG-0086,"Barang Contoh Ke-86",366,"Survei dan Pemetaan"
BRG-0087,"Barang Contoh Ke-87",468,"Tata Usaha"
BRG-0088,"Barang Contoh Ke-88",471,"Survei dan Pemetaan"
BRG-0089,"Barang Contoh Ke-89",361,"Penetapan Hak dan Pendaftaran"
BRG-0090,"Barang Contoh Ke-90",123,"Tata Usaha"
BRG-0091,"Barang Contoh Ke-91",75,"Penataan dan Pemberdayaan"
BRG-0092,"Barang Contoh Ke-92",18,"Survei dan Pemetaan"
BRG-0093,"Barang Contoh Ke-93",233,"Penataan dan Pemberdayaan"
BRG-0094,"Barang Contoh Ke-94",173,"Pengadaan Tanah dan Pengembangan"
BRG-0095,"Barang Contoh Ke-95",493,"Penetapan Hak dan Pendaftaran"
BRG-0096,"Barang Contoh Ke-96",68,"Penetapan Hak dan Pendaftaran"
BRG-0097,"Barang Contoh Ke-97",391,"Survei dan Pemetaan"
BRG-0098,"Barang Contoh Ke-98",218,"Pengadaan Tanah dan Pengembangan"
BRG-0099,"Barang Contoh Ke-99",89,"Pengadaan Tanah dan Pengembangan"
BRG-0100,"Barang Contoh Ke-100",404,"Tata Usaha"
